Comment,Designator,Footprint,LCSC Part Number,Vendor,Mrf Part Number,Search fail,In stock,Preorder,Global sourcing,Notes
100n,"C1, C2, C3, C4, C5, C15, C19, C20, C21, C24, C26, C27",0201_0603Metric,C76934,Murata Electronics,GRM033R61A104KE15D,,120,,,
1u,"C7, C8, C9, C13, C14, C16, C22, C23, C25",0402_1005Metric,C76929,Murata Electronics,GRM155R60J105KE19D,,90,,,
2n2,C10,0201_0603Metric,C161479,Murata Electronics,GRM033R71A222KA01D,,10,,,
0p7,C11,0201_0603Metric,C161449,Murata Electronics,GRM0335C1HR70WA01D,,10,,,
2u2,"C28, C30",0402_1005Metric,C76993,Murata Electronics,GRM155R61A225KE95D,,20,,,
10u,"C29, C31, C32, C33, C35",0603_1608Metric,C77044,Murata Electronics,GRM188R61A106KE69D,,50,,,
22u,C34,0603_1608Metric,C84419,Murata Electronics,GRM188R61A226ME15D,,10,,,
ESD protection diode,"D1, D2, D4",0603_1608Metric,C513113,Nexperia,"PESD5V0V1BDSF,315",,,,10,
Green led,D3,0402_1005Metric,C264408,Everlight Elec,16-213SYGC/S530-E3/TR8,,10,,,
Chip antenna,E1,2450AT18B100E,C2917717,Johanson Technology,2450AT18B100E,,,,10,
2pos 1.0mm pitch socket,J2,BC075-02-A-L-A,,GCT,BC075-02-A-L-A,,,,10,
10u,"L1, L4",0603_1608Metric,C2047264,TDK,MLZ1608M100WTD25,,20,,,
2n2,"L2, L3",0201_0603Metric,C1329438,Murata Electronics,LQP03HQ2N2B02D,,20,,,
4n7,L5,0201_0603Metric,C86126,Murata Electronics,LQP03TN4N7H02D,,10,,,
2u2,L6,0603_1608Metric,C129931,TDK ,MLP1608H2R2BT0S1,,10,,,
100R,"R1, R2",0201_0603Metric,C77623,YAGEO ,RC0201FR-07100RL,,20,,,
22R,"R3, R4",0201_0603Metric,C155743,YAGEO ,RC0201FR-0722RL,,20,,,
100k,R5,0201_0603Metric,C106224,YAGEO ,RC0201FR-07100KL,,10,,,
33k,R6,0603_1608Metric,C4216,UNI-ROYAL,0603WAF3302T5E,,10,,,
1M,"R7, R8, R9",0201_0603Metric,C295786,YAGEO ,RC0201FR-071ML,,30,,,
33R,R10,0402_1005Metric,C138002,YAGEO ,RC0402FR-0733RL,,10,,,
Side push button,S1,PTS840GMSMTRLFS,C221909,C&K,PTS840GMSMTRLFS,,,,10,
10k Thermistor NTC,TH1,0402_1005Metric,C333993,Murata Electronics,NCU15XH103F6SRC,,10,,,
NRF5340-CLAA-R mcu,U1,NRF5340-CLAA,C3606597,Nordic Semiconductor,NRF5340-CLAA,,,,10,
IM69D130_PDM microphone,"U2, U3",IM69D130V01XTSA1,,Infineon Technologies,IM69D130V01XTSA1,,,,10,
CS47L63-CWZR dsp,U4,CS47L63-CWZR,C3588069,Cirrus Logic ,CS47L63-CWZR,,,10,,
NPM1100-CAAA-E-R power ic,U5,NPM1100-CAAA,,Nordic Semiconductor,NPM1100-CAAA,,,,10,
DCDC Converter,U6,XCL210C121GR-G,,Torex Semiconductor ,XCL210C121GR-G,,,,10,
32Mhz 8pF Crystal,Y1,CX2016DB,C1985237,Kyocera,CX2016DB32000D0WZRC1,,,,10,
